"SOAcondition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","count_block1_sequence","count_block2_sequence","count_block_1","count_block_2","count_breakScreen","count_experiment","count_finish","count_instruction1","count_instruction2","count_keyboard_script","count_logger","count_practiceBlock","count_practice_sequence","count_setup_script","custom_cursor","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceBlock","logfile","mouse_backend","opensesame_codename","opensesame_version","operation","repeat_cycle","response","response_breakScreen","response_finish","response_instruction1","response_instruction2","response_time","response_time_breakScreen","response_time_finish","response_time_instruction1","response_time_instruction2","round_decimals","rt","sampler_backend","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","synth_backend","time_block1_sequence","time_block2_sequence","time_block_1","time_block_2","time_breakScreen","time_experiment","time_finish","time_instruction1","time_instruction2","time_keyboard_script","time_logger","time_practiceBlock","time_practice_sequence","time_setup_script","title","total_correct","total_response_time","total_responses","transparent_variables","truth","uniform_coordinates","width"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","no","Wed Feb 27 12:12:33 2019","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","/Users/tom/Desktop/opPreviewExperiment/procedure","no","mono","no","24","no","black","no","no","1050","legacy","0","0","/Users/tom/Desktop/opPreviewExperiment/procedure/quickrun.csv","legacy","Kafkaesque Koffka","3.2.4","mult","0","l","NA","NA","space","NA","964","NA","NA","964","NA","2","600","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","999","odd","legacy","NA","NA","NA","NA","NA","813","NA","854","NA","1824","3648","1820","1823","814","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","1","1","0","1","0","no","Wed Feb 27 12:12:33 2019","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","/Users/tom/Desktop/opPreviewExperiment/procedure","no","mono","no","24","no","black","no","no","1050","legacy","1","1","/Users/tom/Desktop/opPreviewExperiment/procedure/quickrun.csv","legacy","Kafkaesque Koffka","3.2.4","mult","0","l","NA","NA","space","NA","964","NA","NA","964","NA","2","782","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","999","odd","legacy","NA","NA","NA","NA","NA","813","NA","854","NA","3693","5507","1820","3693","814","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","2","2","0","2","0","no","Wed Feb 27 12:12:33 2019","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","/Users/tom/Desktop/opPreviewExperiment/procedure","no","mono","no","24","no","black","no","no","1050","legacy","2","2","/Users/tom/Desktop/opPreviewExperiment/procedure/quickrun.csv","legacy","Kafkaesque Koffka","3.2.4","add","0","a","NA","NA","space","NA","964","NA","NA","964","NA","2","744","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","999","odd","legacy","NA","NA","NA","NA","NA","813","NA","854","NA","5543","7317","1820","5543","814","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","3","3","0","3","0","no","Wed Feb 27 12:12:33 2019","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","/Users/tom/Desktop/opPreviewExperiment/procedure","no","mono","no","24","no","black","no","no","1050","legacy","3","3","/Users/tom/Desktop/opPreviewExperiment/procedure/quickrun.csv","legacy","Kafkaesque Koffka","3.2.4","add","0","a","NA","NA","space","NA","964","NA","NA","964","NA","2","584","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","999","odd","legacy","NA","NA","NA","NA","NA","813","NA","854","NA","7428","9059","1820","7427","814","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","4","4","0","4","0","no","Wed Feb 27 12:12:33 2019","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","/Users/tom/Desktop/opPreviewExperiment/procedure","no","mono","no","24","no","black","no","no","1050","legacy","4","4","/Users/tom/Desktop/opPreviewExperiment/procedure/quickrun.csv","legacy","Kafkaesque Koffka","3.2.4","add","0","l","NA","NA","space","NA","964","NA","NA","964","NA","2","700","legacy","NA","1024","2","48000","-16","experiment","1_4_add_F.jpg","999","odd","legacy","NA","NA","NA","NA","NA","813","NA","854","NA","9104","11015","1820","9104","814","mousetracking operator preview effect","0","0","0","no","false","no","1680"
