"SOAcondition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","count_block1_sequence","count_block2_sequence","count_block_1","count_block_2","count_breakScreen","count_experiment","count_finish","count_instruction1","count_instruction2","count_keyboard_script","count_logger","count_practiceBlock","count_practice_sequence","count_setup_script","custom_cursor","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceBlock","logfile","mouse_backend","opensesame_codename","opensesame_version","operation","repeat_cycle","response","response_breakScreen","response_finish","response_instruction1","response_instruction2","response_time","response_time_breakScreen","response_time_finish","response_time_instruction1","response_time_instruction2","round_decimals","rt","sampler_backend","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","synth_backend","time_block1_sequence","time_block2_sequence","time_block_1","time_block_2","time_breakScreen","time_experiment","time_finish","time_instruction1","time_instruction2","time_keyboard_script","time_logger","time_practiceBlock","time_practice_sequence","time_setup_script","title","total_correct","total_response_time","total_responses","transparent_variables","truth","uniform_coordinates","width"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","25","0","0","0","0","0","0","0","169","169","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","25","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","684","legacy","large","1024","2","48000","-16","experiment","8_4_mult_true.jpg","20","even","legacy","415064","536239","67667","480372","416922","1979","NA","1996","58795","536239","537906","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","26","0","0","0","0","0","0","0","170","170","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","26","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","1449","legacy","small","1024","2","48000","-16","experiment","2_7_add_FI.jpg","20","even","legacy","415064","537928","67667","480372","416922","1979","NA","1996","58795","537928","540361","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","27","0","0","0","0","0","0","0","171","171","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","27","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","601","legacy","large","1024","2","48000","-16","experiment","8_4_mult_true.jpg","20","even","legacy","415064","540393","67667","480372","416922","1979","NA","1996","58795","540393","542143","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","28","0","0","0","0","0","0","0","172","172","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","28","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","978","legacy","small","1024","2","48000","-16","experiment","2_7_add_FNI.jpg","20","even","legacy","415064","542165","67667","480372","416922","1979","NA","1996","58795","542165","544301","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","29","0","0","0","0","0","0","0","173","173","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","29","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","774","legacy","large","1024","2","48000","-16","experiment","8_4_add_FI.jpg","20","even","legacy","415064","544325","67667","480372","416922","1979","NA","1996","58795","544325","546258","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","30","0","0","0","0","0","0","0","174","174","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","30","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","637","legacy","small","1024","2","48000","-16","experiment","3_6_add_true.jpg","20","even","legacy","415064","546278","67667","480372","416922","1979","NA","1996","58795","546278","548069","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","31","0","0","0","0","0","0","0","175","175","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","31","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","1570","legacy","large","1024","2","48000","-16","experiment","9_7_add_FNI.jpg","20","even","legacy","415064","548089","67667","480372","416922","1979","NA","1996","58795","548089","550633","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","32","0","0","0","0","0","0","0","176","176","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","32","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","2172","legacy","large","1024","2","48000","-16","experiment","6_8_add_true.jpg","20","even","legacy","415064","550653","67667","480372","416922","1979","NA","1996","58795","550653","553982","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","33","0","0","0","0","0","0","0","177","177","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","33","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","3424","legacy","large","1024","2","48000","-16","experiment","4_9_mult_FI.jpg","20","even","legacy","415064","554005","67667","480372","416922","1979","NA","1996","58795","554005","558412","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","34","0","0","0","0","0","0","0","178","178","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","34","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","1269","legacy","small","1024","2","48000","-16","experiment","8_2_mult_true.jpg","20","even","legacy","415064","558433","67667","480372","416922","1979","NA","1996","58795","558433","560852","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","35","0","0","0","0","0","0","0","179","179","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","35","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","1209","legacy","large","1024","2","48000","-16","experiment","9_7_add_FI.jpg","20","even","legacy","415064","560876","67667","480372","416922","1979","NA","1996","58795","560876","563226","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","36","0","0","0","0","0","0","0","180","180","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","36","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","1001","legacy","large","1024","2","48000","-16","experiment","9_7_mult_true.jpg","20","even","legacy","415064","563253","67667","480372","416922","1979","NA","1996","58795","563253","565234","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","37","0","0","0","0","0","0","0","181","181","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","37","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","685","legacy","large","1024","2","48000","-16","experiment","8_4_mult_true.jpg","20","even","legacy","415064","565264","67667","480372","416922","1979","NA","1996","58795","565265","566928","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","38","0","0","0","0","0","0","0","182","182","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","38","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","1334","legacy","small","1024","2","48000","-16","experiment","5_3_mult_FI.jpg","20","even","legacy","415064","566948","67667","480372","416922","1979","NA","1996","58795","566948","569263","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","39","0","0","0","0","0","0","0","183","183","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","39","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","792","legacy","small","1024","2","48000","-16","experiment","2_7_mult_true.jpg","20","even","legacy","415064","569283","67667","480372","416922","1979","NA","1996","58795","569283","571053","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","40","0","0","0","0","0","0","0","184","184","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","40","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","1357","legacy","small","1024","2","48000","-16","experiment","8_2_add_FI.jpg","20","even","legacy","415064","571073","67667","480372","416922","1979","NA","1996","58795","571073","573404","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","41","0","0","0","0","0","0","0","185","185","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","41","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","1372","legacy","small","1024","2","48000","-16","experiment","5_3_add_true.jpg","20","even","legacy","415064","573428","67667","480372","416922","1979","NA","1996","58795","573429","575784","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","0","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","42","0","0","0","0","0","0","0","186","186","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","42","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","l","NA","a","l","63449","63449","NA","15450","8871","2","1043","legacy","large","1024","2","48000","-16","experiment","9_7_mult_FNI.jpg","20","even","legacy","415064","575805","67667","480372","416922","1979","NA","1996","58795","575805","579000","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","127","43","0","0","0","0","0","0","0","187","187","0","15","0","no","04/24/19 11:23:02","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","43","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-20.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","l","NA","a","l","63449","63449","NA","15450","8871","2","872","legacy","large","1024","2","48000","-16","experiment","6_8_mult_FNI.jpg","20","even","legacy","415064","579025","67667","480372","416922","1979","NA","1996","58795","579025","580876","17447","55262","1981","mousetracking operator preview effect","0","0","0","no","false","no","1680"
