"SOAcondition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","count_block1_sequence","count_block2_sequence","count_block_1","count_block_2","count_breakScreen","count_experiment","count_finish","count_instruction1","count_instruction2","count_keyboard_script","count_logger","count_practiceBlock","count_practice_sequence","count_setup_script","custom_cursor","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceBlock","logfile","mouse_backend","opensesame_codename","opensesame_version","operation","repeat_cycle","response","response_breakScreen","response_finish","response_instruction1","response_instruction2","response_time","response_time_breakScreen","response_time_finish","response_time_instruction1","response_time_instruction2","round_decimals","rt","sampler_backend","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","synth_backend","time_block1_sequence","time_block2_sequence","time_block_1","time_block_2","time_breakScreen","time_experiment","time_finish","time_instruction1","time_instruction2","time_keyboard_script","time_logger","time_practiceBlock","time_practice_sequence","time_setup_script","title","total_correct","total_response_time","total_responses","transparent_variables","truth","uniform_coordinates","width"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","0","0","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","z","NA","15196","NA","NA","15196","NA","2","2930","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_F.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","17235","21148","17233","17235","2024","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","1","1","0","1","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","1","1","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1870","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","21182","24029","17233","21181","2024","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","2","2","0","2","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","2","2","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","z","NA","15196","NA","NA","15196","NA","2","8382","legacy","NA","1024","2","48000","-16","experiment","1_4_add_F.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","24050","33583","17233","24050","2024","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","3","3","0","3","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","3","3","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1784","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_T.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","33603","36362","17233","33603","2024","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","0","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","4","4","0","4","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","4","4","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1086","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","36389","39472","17233","36389","2024","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","5","5","0","5","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","5","5","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","2727","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","39514","43225","17233","39514","2024","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","6","6","0","6","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","6","6","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","z","NA","15196","NA","NA","15196","NA","2","2039","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","43253","46440","17233","43253","2024","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","7","7","0","7","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","7","7","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1984","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_F.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","46461","49590","17233","46461","2024","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","8","8","0","8","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","8","8","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1175","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","49613","51935","17233","49613","2024","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","9","9","0","9","0","no","04/29/19 12:42:42","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","9","9","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-25.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","z","NA","15196","NA","NA","15196","NA","2","1732","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_T.jpg","25","odd","legacy","NA","NA","NA","NA","NA","2023","NA","2036","NA","51948","54659","17233","51948","2024","mousetracking operator preview effect","0","0","0","no","true","no","1680"
