"SOAcondition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","count_block1_sequence","count_block2_sequence","count_block_1","count_block_2","count_breakScreen","count_experiment","count_finish","count_instruction1","count_instruction2","count_keyboard_script","count_logger","count_practiceBlock","count_practice_sequence","count_setup_script","custom_cursor","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceBlock","logfile","mouse_backend","opensesame_codename","opensesame_version","operation","repeat_cycle","response","response_breakScreen","response_finish","response_instruction1","response_instruction2","response_time","response_time_breakScreen","response_time_finish","response_time_instruction1","response_time_instruction2","round_decimals","rt","sampler_backend","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","synth_backend","time_block1_sequence","time_block2_sequence","time_block_1","time_block_2","time_breakScreen","time_experiment","time_finish","time_instruction1","time_instruction2","time_keyboard_script","time_logger","time_practiceBlock","time_practice_sequence","time_setup_script","title","total_correct","total_response_time","total_responses","transparent_variables","truth","uniform_coordinates","width"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","0","0","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","825","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","11196","12957","11194","11196","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","1","1","0","1","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","1","1","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","815","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","12976","14756","11194","12976","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","2","2","0","2","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","2","2","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","1020","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","14781","16951","11194","14781","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","3","3","0","3","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","3","3","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","1124","legacy","NA","1024","2","48000","-16","experiment","1_4_add_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","16971","19066","11194","16971","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","4","4","0","4","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","4","4","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","679","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","19090","20913","11194","19090","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","5","5","0","5","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","5","5","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","741","legacy","NA","1024","2","48000","-16","experiment","0_3_add_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","20937","22642","11194","20937","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","6","6","0","6","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","6","6","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","1303","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","22655","25102","11194","22655","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","7","7","0","7","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","7","7","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","936","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","25124","27207","11194","25124","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","8","8","0","8","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","8","8","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","724","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","27228","29098","11194","27228","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","9","9","0","9","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","9","9","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","738","legacy","NA","1024","2","48000","-16","experiment","0_3_add_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","29125","30992","11194","29125","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","10","10","0","10","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","10","10","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","874","legacy","NA","1024","2","48000","-16","experiment","1_4_add_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","31020","33042","11194","31020","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","11","11","0","11","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","11","11","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","922","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","33067","34964","11194","33067","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","12","12","0","12","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","12","12","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","NA","9249","NA","NA","9249","NA","2","1358","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_F.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","34985","37321","11194","34985","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","13","13","0","13","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","13","13","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","1295","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","37350","39609","11194","37350","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","14","14","0","14","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","14","14","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","804","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","39629","41406","11194","39629","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","15","15","0","15","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","15","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","l","NA","9249","NA","NA","9249","NA","2","741","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_T.jpg","16","even","legacy","NA","NA","NA","NA","NA","1928","NA","1944","NA","41429","43315","11194","41429","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","0","NA","0","0","0","0","0","0","0","16","16","0","15","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","0","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","l","3770","NA","NA","9249","3770","2","2063","legacy","large","1024","2","48000","-16","experiment","8_4_mult_FI.jpg","16","even","legacy","47123","NA","47120","NA","NA","1928","NA","1944","43349","47123","50157","11194","41429","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","1","NA","0","0","0","0","0","0","0","17","17","0","15","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","1","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","l","l","3770","NA","NA","9249","3770","2","1430","legacy","large","1024","2","48000","-16","experiment","9_7_mult_FI.jpg","16","even","legacy","50186","NA","47120","NA","NA","1928","NA","1944","43349","50187","52579","11194","41429","1930","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","2","NA","0","0","0","0","0","0","0","18","18","0","15","0","no","04/08/19 10:50:57","A simple template for the mouse-tracking paradigm","yes","Experiment-FT.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","2","15","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-16.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","l","l","3770","NA","NA","9249","3770","2","1169","legacy","large","1024","2","48000","-16","experiment","6_8_add_true.jpg","16","even","legacy","52607","NA","47120","NA","NA","1928","NA","1944","43349","52607","54750","11194","41429","1930","mousetracking operator preview effect","0","0","0","no","true","no","1680"
